"filename", "language", "Go", "comment", "blank", "total"
"c:\Users\dboyn\plexichat\plexichat-client\cmd\admin.go", "Go", 268, 8, 57, 333
"c:\Users\dboyn\plexichat\plexichat-client\cmd\auth.go", "Go", 202, 12, 47, 261
"c:\Users\dboyn\plexichat\plexichat-client\cmd\chat.go", "Go", 264, 15, 63, 342
"c:\Users\dboyn\plexichat\plexichat-client\cmd\config.go", "Go", 308, 20, 68, 396
"c:\Users\dboyn\plexichat\plexichat-client\cmd\files.go", "Go", 287, 17, 75, 379
"c:\Users\dboyn\plexichat\plexichat-client\cmd\gui_launcher.go", "Go", 1202, 204, 265, 1671
"c:\Users\dboyn\plexichat\plexichat-client\cmd\gui_launcher_test.go", "Go", 187, 13, 35, 235
"c:\Users\dboyn\plexichat\plexichat-client\cmd\root.go", "Go", 163, 22, 35, 220
"c:\Users\dboyn\plexichat\plexichat-client\cmd\web.go", "Go", 22, 0, 5, 27
"Total", "-", 2903, 311, 650, 3864